NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
completed: track-b-stereoset-controlled-main-pythia-160m-v2-continued_retain-s11-103724f5 (6.791s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-continued_retain-s29-70673b74 (6.720s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-continued_retain-s47-5c48fe06 (6.722s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-counterfactual-s11-90214176 (6.723s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-counterfactual-s29-8aedd5d0 (6.741s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-counterfactual-s47-c1f0b18f (6.724s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-exact_retrain-s11-17816876 (6.757s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-exact_retrain-s29-f7aeb624 (6.722s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-exact_retrain-s47-966e0124 (6.735s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-gradient_ascent-s11-7c1cf0d2 (6.721s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-gradient_ascent-s29-dbbafbef (6.726s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-gradient_ascent-s47-41ec3280 (6.721s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-npo-s11-fc6cdc7b (6.750s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-npo-s29-3a9170fb (6.724s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-npo-s47-642ecf71 (6.729s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-pcgu-s11-87aefee0 (6.724s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-pcgu-s29-fdd9e914 (6.735s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-pcgu-s47-8af8b549 (6.723s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-sham-s11-c2b01cd5 (6.745s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-sham-s29-6db4bb1b (6.728s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-sham-s47-4fb9bec0 (6.737s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-trained_full-s11-582895d4 (6.723s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-trained_full-s29-e769e921 (6.726s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-trained_full-s47-6b4792c2 (6.721s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-untouched-s11-93483f4c (6.739s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-untouched-s29-d7de8dea (6.723s, 2106 examples)
completed: track-b-stereoset-controlled-main-pythia-160m-v2-untouched-s47-56b63d3c (6.735s, 2106 examples)
