NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
NVIDIA A100-SXM4-80GB, 81920 MiB, 595.71.05
The fast path is not available because one of `(selective_state_update, selective_scan_fn, causal_conv1d_fn, causal_conv1d_update, mamba_inner_fn)` is None. Falling back to the sequential implementation of Mamba, as use_mambapy is set to False. To install follow https://github.com/state-spaces/mamba/#installation and https://github.com/Dao-AILab/causal-conv1d. For the mamba.py backend, follow https://github.com/alxndrTL/mamba.py.
completed: track-b-stereoset-controlled-main-mamba-130m-v2-continued_retain-s11-db35754e (25.172s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-continued_retain-s29-09f3ab68 (25.099s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-continued_retain-s47-cf16c202 (25.081s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-counterfactual-s11-d2670673 (25.080s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-counterfactual-s29-d3d291e2 (25.080s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-counterfactual-s47-bf9c9833 (25.084s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-exact_retrain-s11-8c84b1af (25.083s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-exact_retrain-s29-4ec06d54 (25.078s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-exact_retrain-s47-b0c1d04f (25.079s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-gradient_ascent-s11-539c3c6c (25.080s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-gradient_ascent-s29-7e4fb708 (25.078s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-gradient_ascent-s47-7a703b51 (25.075s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-npo-s11-0a20aa16 (25.079s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-npo-s29-4776710f (25.075s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-npo-s47-4d59853f (25.076s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-pcgu-s11-b6fc3d22 (25.080s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-pcgu-s29-c025596d (25.076s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-pcgu-s47-5e924725 (25.085s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-sham-s11-886bf8e5 (25.082s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-sham-s29-70b7acdf (25.079s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-sham-s47-eaffaa69 (25.082s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-trained_full-s11-c85441fd (25.081s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-trained_full-s29-9b5636a6 (25.077s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-trained_full-s47-297355fa (25.077s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-untouched-s11-65adbd28 (25.087s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-untouched-s29-db0ba001 (25.085s, 2106 examples)
completed: track-b-stereoset-controlled-main-mamba-130m-v2-untouched-s47-f2df84da (25.080s, 2106 examples)
