model,method,partition,id,group_id,prompt,target,loss_mean,loss_delta_vs_full_mean,loss_delta_vs_full_sd
pythia-160m,continued_retain,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.056257801867711045,-0.0956124811200425,0.1375317550136468
pythia-160m,continued_retain,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.0010451011961170782,-0.02644969628696951,0.01821451073713613
pythia-160m,continued_retain,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,0.08243498850303392,-1.6790240441914648,0.661376644731591
pythia-160m,continued_retain,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.3152660185781618,-0.056603125762194395,0.15913143239626198
pythia-160m,continued_retain,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.06110488871733347,-1.2389573901891708,1.1885496689775168
pythia-160m,continued_retain,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.8591307004292806,-0.40371233224868774,0.6731032548273045
pythia-160m,continued_retain,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.6557451610763868,-0.06259118268887202,0.6343782421606324
pythia-160m,continued_retain,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.23728386809428534,-0.35104616234699887,0.26391901698342884
pythia-160m,continued_retain,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.2923843562602997,-1.3609403272469838,0.8331090708231659
pythia-160m,continued_retain,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.5305071274439495,0.18879473209381104,0.6982932872765163
pythia-160m,continued_retain,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,1.936856875816981,0.30916548768679303,2.453335479004084
pythia-160m,continued_retain,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.012712240219116,-0.14447585741678873,0.1691761318531876
pythia-160m,continued_retain,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,4.351417541503906,-0.9458136558532715,0.9346343545188815
pythia-160m,continued_retain,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.1646680037180583,-0.3174504041671753,0.06481469640953975
pythia-160m,continued_retain,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,3.3882548809051514,-2.4493059317270913,1.4641745189501376
pythia-160m,continued_retain,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,5.821151574452718,0.4905085563659668,0.7717222132243503
pythia-160m,continued_retain,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,5.616332213083903,-2.3395110766092935,0.8640929257099628
pythia-160m,continued_retain,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.1304505666097,-0.37707797686258954,0.26140839705209445
pythia-160m,continued_retain,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,5.282299836476644,1.4500308831532795,0.7281315692159569
pythia-160m,continued_retain,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,5.1125508944193525,0.7597301006317139,0.4340443421047441
pythia-160m,continued_retain,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,6.276824792226155,0.5702912012736002,0.42335596915263446
pythia-160m,continued_retain,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.3320415019989014,-0.09943381945292155,0.18315901713957558
pythia-160m,continued_retain,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.166469097137451,0.06645043690999348,0.845446209148062
pythia-160m,continued_retain,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.685950438181559,0.16765602429707846,0.1716630842740425
pythia-160m,continued_retain,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.437974770863851,0.25617027282714844,0.2957841676622561
pythia-160m,continued_retain,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,3.187678496042887,0.27143144607543945,0.597106219227116
pythia-160m,continued_retain,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,2.6411831776301065,0.11599282423655193,0.6820364612290711
pythia-160m,continued_retain,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.22363805770874,-0.23117939631144205,0.7175972211734317
pythia-160m,sham,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.1520143300294876,0.00014404704173405966,0.0006882619865648527
pythia-160m,sham,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.02748506050556898,-9.736977517604828e-06,3.1404851385995185e-05
pythia-160m,sham,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.7622936566670735,0.0008346239725748698,0.003493152244759969
pythia-160m,sham,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.371375339726607,-0.0004938046137491862,0.0007588619611857322
pythia-160m,sham,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,1.3017582297325134,0.0016959508260091145,0.003358930130980646
pythia-160m,sham,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,1.2620532313982646,-0.000789801279703776,0.0013180784698984228
pythia-160m,sham,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.7182498772939047,-8.646647135416667e-05,0.0018704289165491523
pythia-160m,sham,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.5881705979506174,-0.00015943249066670737,0.0007929915503962939
pythia-160m,sham,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,1.6522280375162761,-0.001096645991007487,0.002479410962156399
pythia-160m,sham,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.342672049999237,0.0009596546490987142,0.004337223169768297
