model,endpoint,method,baseline,effect,ci_low,ci_high,p_value,p_holm
pythia-160m,forget_oracle_kl,continued_retain,trained_full,0.9729123148653243,0.1613303035497666,2.061768462260564,0.125,0.75
pythia-160m,forget_oracle_kl,sham,trained_full,-7.471773359510636e-05,-0.0008885065714518229,0.0007395317984951867,0.75,0.75
pythia-160m,forget_oracle_kl,counterfactual,trained_full,-1.5179364929596584,-2.56168543961313,-0.5392751329474978,0.125,0.75
pythia-160m,forget_oracle_kl,gradient_ascent,trained_full,-0.24226709206899008,-0.45502362884581093,-0.0231988029761447,0.125,0.75
pythia-160m,forget_oracle_kl,npo,trained_full,-0.26000043749809265,-0.4816881496873165,-0.0324690043926239,0.125,0.75
pythia-160m,forget_oracle_kl,pcgu,trained_full,-0.3036799944109387,-0.4252945880095164,-0.22449527697430718,0.125,0.75
pythia-160m,utility_nll,continued_retain,trained_full,0.33271399736404417,0.018570673068364463,0.6263889211416244,0.03515625,0.17578125
pythia-160m,utility_nll,sham,trained_full,0.00023345947265625,-0.0005216070016225179,0.0009036644299825026,0.3359375,0.51171875
pythia-160m,utility_nll,counterfactual,trained_full,0.2019621213277181,0.0956155792872111,0.3300306991736094,0.025390625,0.15234375
pythia-160m,utility_nll,gradient_ascent,trained_full,-0.02317508856455485,-0.04282348374525706,-0.00537984589735667,0.095703125,0.3828125
pythia-160m,utility_nll,npo,trained_full,-0.021617611249287922,-0.04279678165912628,-0.00306639512379965,0.111328125,0.3828125
pythia-160m,utility_nll,pcgu,trained_full,-0.02096410592397054,-0.07488258282343546,0.032427851557731625,0.255859375,0.51171875
mamba-130m-hf,forget_oracle_kl,continued_retain,trained_full,0.2459372491058376,0.025340357174475987,0.5720872775651515,0.125,0.75
mamba-130m-hf,forget_oracle_kl,sham,trained_full,-6.518512964248657e-05,-0.00031962038742171397,0.00013738833367824555,0.75,1.0
mamba-130m-hf,forget_oracle_kl,counterfactual,trained_full,-0.13061956212752393,-0.47836901273888843,0.17721674756871328,0.625,1.0
mamba-130m-hf,forget_oracle_kl,gradient_ascent,trained_full,-0.05254076855878036,-0.12504349487523236,0.0039054200881057308,0.5,1.0
mamba-130m-hf,forget_oracle_kl,npo,trained_full,-0.05420551490452554,-0.13423024614652,0.0070165682118385865,0.5,1.0
mamba-130m-hf,forget_oracle_kl,pcgu,trained_full,-0.07668440995944871,-0.12081802389067078,-0.03900018955270449,0.125,0.75
mamba-130m-hf,utility_nll,continued_retain,trained_full,-0.07800509929656982,-0.16703323572874068,0.01178653319676713,0.201171875,1.0
mamba-130m-hf,utility_nll,sham,trained_full,-2.38498051961263e-05,-0.0002807153264681498,0.00028574625651041634,0.83984375,1.0
mamba-130m-hf,utility_nll,counterfactual,trained_full,-0.09801397720972697,-0.2319017830491066,0.011420575777689589,0.3515625,1.0
mamba-130m-hf,utility_nll,gradient_ascent,trained_full,0.005386551221211751,-0.0024024329582850138,0.01586317896842956,0.232421875,1.0
mamba-130m-hf,utility_nll,npo,trained_full,0.008989298343658447,0.0002570281426111857,0.02033508112033208,0.076171875,0.45703125
mamba-130m-hf,utility_nll,pcgu,trained_full,0.0067985733350118,-0.03873734037081401,0.035036342640717824,0.763671875,1.0
