model,method,seed,forget_oracle_kl,utility_nll,retain_nll,optimization_seconds,peak_vram_bytes,examples_processed,tokens_processed
pythia-160m,untouched,11,7.374269187450409,6.762800908088684,13.452634970347086,0.013147734105587006,3974279168,0,0
pythia-160m,untouched,29,8.202240327994028,6.762800908088684,13.452634970347086,0.01253783144056797,5922154496,0,0
pythia-160m,untouched,47,7.878435532251994,6.762800908088684,13.452634970347086,0.012571828439831734,7209320960,0,0
pythia-160m,trained_full,11,4.805975516637166,4.720893931388855,2.759393784424497,1.7325685378164053,4623570944,80,100
pythia-160m,trained_full,29,5.378559758265813,4.738746476173401,2.1233911806096635,1.5780046172440052,6571446272,80,99
pythia-160m,trained_full,47,5.1832205057144165,4.6462009191513065,2.3460661644736924,1.5775499995797873,7209320960,80,100
pythia-160m,exact_retrain,11,0.0,4.933523750305175,1.3105775041816135,1.5673096049576998,5097464832,80,90
pythia-160m,exact_retrain,29,0.0,4.916393756866455,1.3163783370206754,1.5756425112485886,6571446272,80,90
pythia-160m,exact_retrain,47,0.0,4.931790018081665,1.2770989042603307,1.5742142871022224,7220738048,80,90
pythia-160m,continued_retain,11,6.867743978897731,5.226790142059326,1.7927719941023195,0.9780545085668564,7209322496,48,54
pythia-160m,continued_retain,29,5.5763881504535675,5.1544582605361935,1.7408617421881192,0.9638432990759611,9806489600,48,54
pythia-160m,continued_retain,47,5.842360595862071,4.722734916210174,1.885200248455577,0.9873542822897434,9806489600,48,54
pythia-160m,sham,11,4.806243509054184,4.7208491563797,2.7594870607265167,0.8227705787867308,6714566144,0,0
pythia-160m,sham,29,5.378758589426677,4.739079880714416,2.1232707841942706,1.194040333852172,8662441472,0,0
pythia-160m,sham,47,5.18252952893575,4.646612668037415,2.3468959457241,0.8135030977427959,8662441472,0,0
pythia-160m,counterfactual,11,3.94411638379097,4.882428574562073,2.3681244293434753,0.9755042474716902,7209322496,48,68
pythia-160m,counterfactual,29,3.579469015200933,4.9797855615615845,1.6154845470769539,0.9690252132713795,9806489600,48,68
pythia-160m,counterfactual,47,3.2903609027465186,4.849513554573059,1.6206282426913579,0.9707587547600269,9806489600,48,68
pythia-160m,gradient_ascent,11,4.490114937225978,4.700959157943726,2.755381738767028,0.5161390323191881,8507909632,48,60
pythia-160m,gradient_ascent,29,4.975318948427836,4.719187498092651,2.0068718389504485,0.5133755188435316,10455784960,48,60
pythia-160m,gradient_ascent,47,5.175520618756612,4.616169404983521,2.1887399540541486,0.512176126241684,10455784960,48,60
pythia-160m,npo,11,4.485534419616063,4.702485585212708,2.7674307028452554,0.5050063803792,8507911168,48,60
pythia-160m,npo,29,4.939904138445854,4.722043418884278,2.0250017473267183,0.49692681804299355,10455786496,48,60
pythia-160m,npo,47,5.1623159100612,4.616459488868713,2.2113318811170757,0.5853639636188745,9384008704,48,60
pythia-160m,pcgu,11,4.577602277199428,4.645981502532959,2.795059296923379,1.0423808339983225,8802044928,48,84
pythia-160m,pcgu,29,4.953265170256297,4.72894697189331,2.1784131268246307,1.5474315285682678,10100628480,48,84
pythia-160m,pcgu,47,4.925848349928856,4.668020534515381,2.33996755660822,0.982610272243619,7503461376,48,84
mamba-130m-hf,untouched,11,3.567261262486378,5.294355010986328,13.581565697987875,0.019033409655094147,3180059136,0,0
mamba-130m-hf,untouched,29,3.675986034795642,5.294355010986328,13.581565697987875,0.01904638111591339,7312390656,0,0
mamba-130m-hf,untouched,47,3.579733612636725,5.294355010986328,13.581565697987875,0.019505470991134644,16610136576,0,0
mamba-130m-hf,trained_full,11,1.9369042503337066,4.30111346244812,3.2613396777047052,6.264694457873702,3696600576,80,100
mamba-130m-hf,trained_full,29,1.8280363362282515,4.361364495754242,3.4245730940666466,6.2721031829714775,7828932096,80,99
mamba-130m-hf,trained_full,47,1.7831815965473652,4.4219280004501345,3.7611224721703262,6.3880395740270615,17007474688,80,100
mamba-130m-hf,exact_retrain,11,0.0,4.362983560562133,2.9083675482931235,5.743139343336225,4213142016,80,90
mamba-130m-hf,exact_retrain,29,0.0,4.337236642837524,2.897542074865972,6.039751082658768,8345473536,80,90
mamba-130m-hf,exact_retrain,47,0.0,4.421928834915161,2.8253714716475873,6.034047028049827,4213142016,80,90
mamba-130m-hf,continued_retain,11,2.4451167161266008,4.177232789993286,2.739860340998146,3.5351611003279686,6782149120,48,54
mamba-130m-hf,continued_retain,29,1.861885640770197,4.3469733715057375,3.016085405678799,3.6691677905619144,10914480640,48,54
mamba-130m-hf,continued_retain,47,1.9789315735300381,4.326184499263763,3.0876456031368837,3.539778769016266,6782149120,48,54
