model,method,category,count,lms_mean,lms_sd,ss_mean,ss_sd,icat_mean,icat_sd
pythia-160m,untouched,gender,255,81.37254901960785,0.0,58.431372549019606,0.0,67.65090349865437,0.0
pythia-160m,untouched,profession,810,78.82716049382717,0.0,62.839506172839506,0.0,58.585124218869076,0.0
pythia-160m,untouched,race,962,81.8087318087318,0.0,56.237006237006234,0.0,71.60390039807919,0.0
pythia-160m,untouched,religion,79,85.44303797468355,0.0,51.89873417721519,0.0,82.198365646531,0.0
pythia-160m,trained_full,gender,255,76.33986928104575,1.5848830918930923,57.64705882352941,1.037549533750819,64.64282968089198,0.38645545262625836
pythia-160m,trained_full,profession,810,73.72427983539094,0.1425556220221284,60.452674897119344,1.2967861116533912,58.309861301630846,1.8178931867094725
pythia-160m,trained_full,race,962,77.18295218295218,0.7691605294671892,55.95980595980596,0.8402186869703518,67.98923903913509,1.8493925146464283
pythia-160m,trained_full,religion,79,75.52742616033755,1.592792074951641,54.85232067510548,0.7308231255564881,68.21022272071784,2.4087427943664674
pythia-160m,exact_retrain,gender,255,77.77777777777777,1.1489147602122187,55.68627450980392,0.39215686274509665,68.93707548378829,1.5325107180055157
pythia-160m,exact_retrain,profession,810,74.8559670781893,0.4633057715719214,59.958847736625515,0.2851112440442609,59.94726413656455,0.6916036574339033
pythia-160m,exact_retrain,race,962,76.94040194040194,0.295542656085098,54.054054054054056,0.7495948597638249,70.70206300975532,1.1936695891453881
pythia-160m,exact_retrain,religion,79,75.9493670886076,0.0,57.80590717299578,0.7308231255564881,64.09229290177858,1.110111076794666
pythia-160m,continued_retain,gender,255,77.6470588235294,0.39215686274510375,57.51633986928105,0.22641187027044068,65.9746251441753,0.48370352653585946
pythia-160m,continued_retain,profession,810,74.30041152263374,1.517480993209238,61.93415637860082,1.186299202090499,56.55123710816441,1.3878038925864031
pythia-160m,continued_retain,race,962,78.23977823977823,1.8304764251854002,56.61815661815662,1.978695985484302,67.88046242308197,3.4143566308252975
pythia-160m,continued_retain,religion,79,77.84810126582279,2.1924693766694645,54.0084388185654,1.9335762425974004,71.61779629332906,3.9577423336097426
pythia-160m,sham,gender,255,76.33986928104575,1.5848830918930923,57.64705882352941,1.037549533750819,64.64282968089198,0.38645545262625836
pythia-160m,sham,profession,810,73.72427983539094,0.09429168096617171,60.452674897119344,1.2967861116533912,58.310369354265106,1.8395206663213832
pythia-160m,sham,race,962,77.16562716562717,0.7870974838253996,55.994455994456,0.8337636462589052,67.92083943851095,1.8670544120134291
pythia-160m,sham,religion,79,75.52742616033755,1.592792074951641,54.85232067510548,0.7308231255564881,68.21022272071784,2.4087427943664674
pythia-160m,counterfactual,gender,255,75.22875816993464,0.5990295026086044,55.42483660130719,0.5990295026086075,67.06189926951173,0.3695018834236977
pythia-160m,counterfactual,profession,810,73.20987654320989,0.4320987654320985,60.41152263374485,0.7937161120158813,57.96972006299853,1.4964053542046218
pythia-160m,counterfactual,race,962,75.91822591822593,0.3460669500249171,54.43520443520443,1.7681705921237794,69.17594869777822,2.3772595353026778
pythia-160m,counterfactual,religion,79,73.83966244725738,2.557880939447716,54.43037974683544,1.2658227848101262,67.33963574213534,4.19836114981085
pythia-160m,gradient_ascent,gender,255,76.07843137254902,0.9803921568627487,57.908496732026144,0.8163396076337747,64.03485838779957,0.5120953323176249
pythia-160m,gradient_ascent,profession,810,73.35390946502058,0.3044989421182896,60.37037037037037,1.6700925010455177,58.134024284915924,2.2532527387739747
pythia-160m,gradient_ascent,race,962,76.94040194040194,0.7939320330831336,55.82120582120582,0.5197505197505201,67.98628550187802,1.3706827704358886
pythia-160m,gradient_ascent,religion,79,75.73839662447257,1.3175101262443931,54.43037974683544,0.0,69.02739945521552,1.20076872265312
pythia-160m,npo,gender,255,76.01307189542484,1.0799157935855097,57.64705882352941,1.037549533750819,64.3767781622453,1.1278502413206668
pythia-160m,npo,profession,810,73.39506172839506,0.32663596432895853,60.41152263374486,1.6670476625949882,58.10638622161256,2.2580159516279914
pythia-160m,npo,race,962,76.90575190575191,0.809098713017022,55.78655578655579,0.5725125309029221,68.00919342499384,1.4436149907511664
pythia-160m,npo,religion,79,75.73839662447257,1.3175101262443931,54.85232067510548,0.7308231255564881,68.39181755060622,1.8403762730435256
pythia-160m,pcgu,gender,255,76.1437908496732,1.3055545330351743,57.38562091503268,1.584883091893093,64.87607330513904,1.7848373865691938
pythia-160m,pcgu,profession,810,73.58024691358024,0.4276668660663934,60.24691358024691,1.4237731598359011,58.49413199207438,1.826330333366735
pythia-160m,pcgu,race,962,76.95772695772696,0.5841897193377467,55.92515592515593,0.727650727650729,67.84271477618671,1.5729580050400362
pythia-160m,pcgu,religion,79,75.31645569620252,2.2819944781417725,54.85232067510548,0.7308231255564881,68.02328686642097,2.948477682789743
mamba-130m-hf,untouched,gender,255,82.15686274509804,0.0,61.568627450980394,0.0,63.148019992310644,0.0
mamba-130m-hf,untouched,profession,810,80.30864197530865,0.0,64.44444444444444,0.0,57.10836762688615,0.0
mamba-130m-hf,untouched,race,962,83.83575883575884,0.0,57.9002079002079,0.0,70.58936035027511,0.0
mamba-130m-hf,untouched,religion,79,90.50632911392405,0.0,56.962025316455694,0.0,77.90418202211184,0.0
mamba-130m-hf,trained_full,gender,255,81.50326797385621,0.11320593513521623,61.830065359477125,0.22641187027044068,62.219146482122255,0.2823489205725532
mamba-130m-hf,trained_full,profession,810,79.48559670781893,0.09429168096616551,63.16872427983539,0.0712778110110642,58.55113549763756,0.14363779227983406
