model,method,category,baseline,lms_delta_mean,lms_delta_sd,ss_delta_mean,ss_delta_sd,neutrality_delta_mean,neutrality_delta_sd,icat_delta_mean,icat_delta_sd
pythia-160m,untouched,gender,trained_full,5.0326797385620905,1.5848830918930923,0.7843137254901956,1.037549533750819,0.7843137254901956,1.037549533750819,3.008073817762399,0.38645545262625836
pythia-160m,untouched,profession,trained_full,5.10288065843622,0.1425556220221284,2.3868312757201644,1.2967861116533912,2.3868312757201644,1.2967861116533912,0.27526291723822754,1.8178931867094725
pythia-160m,untouched,race,trained_full,4.625779625779624,0.7691605294671892,0.27720027720027457,0.8402186869703518,0.27720027720027457,0.8402186869703518,3.6146613589441046,1.8493925146464283
pythia-160m,untouched,religion,trained_full,9.915611814345993,1.592792074951641,-2.9535864978902944,0.7308231255564881,-2.9535864978902944,0.7308231255564881,13.988142925813165,2.4087427943664674
pythia-160m,exact_retrain,gender,trained_full,1.437908496732021,1.9835282229403284,-1.960784313725488,1.358471221622646,-1.960784313725488,1.358471221622646,4.294245802896313,1.8958366062305858
pythia-160m,exact_retrain,profession,trained_full,1.1316872427983544,0.4110079085481105,-0.49382716049382935,1.0548152771996917,-0.49382716049382935,1.0548152771996917,1.6374028349337,1.5204019183193436
pythia-160m,exact_retrain,race,trained_full,-0.24255024255024202,0.5701483947298828,-1.905751905751906,0.12003124099576509,-1.905751905751906,0.12003124099576509,2.71282397062023,0.6833902161813084
pythia-160m,exact_retrain,religion,trained_full,0.4219409282700468,1.592792074951641,2.9535864978902944,1.4616462511129762,2.9535864978902944,1.4616462511129762,-4.117929818939264,3.467764725823333
pythia-160m,continued_retain,gender,trained_full,1.3071895424836555,1.377209640895778,-0.1307189542483632,0.9056474810817647,-0.1307189542483632,0.9056474810817647,1.3317954632833373,0.8080069346957283
pythia-160m,continued_retain,profession,trained_full,0.5761316872427974,1.4242191342117012,1.4814814814814785,1.3747566327975334,1.4814814814814785,1.3747566327975334,-1.7586241934664433,2.589448574827458
pythia-160m,continued_retain,race,trained_full,1.0568260568260541,1.5716187763238525,0.6583506583506585,2.38028336737292,0.6583506583506585,2.38028336737292,-0.10877661605312028,4.044837994101635
pythia-160m,continued_retain,religion,trained_full,2.320675105485236,1.3175101262443818,-0.8438818565400842,1.9335762425974004,-0.8438818565400842,1.9335762425974004,3.407573572611232,2.1641432827104468
pythia-160m,sham,gender,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m,sham,profession,trained_full,4.736951571734001e-15,0.06172839506172778,0.0,0.0,0.0,0.0,0.0005080526342595704,0.04801298997645815
pythia-160m,sham,race,trained_full,-0.017325017325016272,0.030007810248939223,0.03465003465003491,0.060015620497882546,0.03465003465003491,0.060015620497882546,-0.06839960062412824,0.11847158349841
pythia-160m,sham,religion,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m,counterfactual,gender,trained_full,-1.111111111111119,2.15983158717102,-2.2222222222222214,1.5848830918930918,-2.2222222222222214,1.5848830918930918,2.4190695886197537,0.6030274579105663
pythia-160m,counterfactual,profession,trained_full,-0.5144032921810625,0.5027486305708063,-0.041152263374487554,0.6089978842365718,-0.041152263374487554,0.6089978842365718,-0.34014123863231305,0.695952601565004
pythia-160m,counterfactual,race,trained_full,-1.264726264726259,0.43588862180904603,-1.5246015246015265,2.2423686330372075,-1.5246015246015265,2.2423686330372075,1.1867096586431387,3.797575279028125
pythia-160m,counterfactual,religion,trained_full,-1.687763713080173,0.9667881212987017,-0.4219409282700421,0.7308231255564881,-0.4219409282700421,0.7308231255564881,-0.8705869785824968,1.9503663143974777
pythia-160m,gradient_ascent,gender,trained_full,-0.2614379084967358,0.6303039713067283,0.2614379084967335,0.2264118702704427,0.2614379084967335,0.2264118702704427,-0.6079712930924069,0.194017610741211
pythia-160m,gradient_ascent,profession,trained_full,-0.3703703703703667,0.16331798216448465,-0.08230452674897275,0.3968580560079447,-0.08230452674897275,0.3968580560079447,-0.1758370167149271,0.45650354408678895
pythia-160m,gradient_ascent,race,trained_full,-0.24255024255024202,0.18253038379856057,-0.13860013860013964,0.33415283302124144,-0.13860013860013964,0.33415283302124144,-0.002953537257065856,0.6549481344409781
pythia-160m,gradient_ascent,religion,trained_full,0.21097046413502105,0.966788121298714,-0.4219409282700421,0.7308231255564881,-0.4219409282700421,0.7308231255564881,0.8171767344976786,1.936539376236224
pythia-160m,npo,gender,trained_full,-0.32679738562091626,0.5660296756761057,0.0,0.39215686274510375,0.0,0.39215686274510375,-0.26605151864667914,0.75520694237924
pythia-160m,npo,profession,trained_full,-0.3292181069958815,0.1885833619323372,-0.04115226337448519,0.3771667238646814,-0.04115226337448519,0.3771667238646814,-0.20347508001828865,0.4405132761774224
pythia-160m,npo,race,trained_full,-0.27720027720027457,0.26160202478415445,-0.17325017325017456,0.30007810248941275,-0.17325017325017456,0.30007810248941275,0.019954385858757934,0.6802382434573873
pythia-160m,npo,religion,trained_full,0.21097046413502105,0.966788121298714,0.0,0.0,0.0,0.0,0.18159482988837775,0.8636619785588857
pythia-160m,pcgu,gender,trained_full,-0.19607843137255543,0.5882352941176521,-0.2614379084967311,0.5990295026086114,-0.2614379084967311,0.5990295026086114,0.23324362424707581,1.4023455197325125
pythia-160m,pcgu,profession,trained_full,-0.14403292181070051,0.285111244044265,-0.2057613168724283,0.1425556220221325,-0.2057613168724283,0.1425556220221325,0.1842706904435308,0.21462724874510117
pythia-160m,pcgu,race,trained_full,-0.22522522522522573,0.3341528330212429,-0.03465003465003491,0.21638939703390317,-0.03465003465003491,0.21638939703390317,-0.1465242629483754,0.5995404599340943
pythia-160m,pcgu,religion,trained_full,-0.21097046413502576,0.7308231255564922,0.0,0.0,0.0,0.0,-0.1869358542968579,0.6614897003182119
mamba-130m-hf,untouched,gender,trained_full,0.6535947712418325,0.11320593513521623,-0.2614379084967311,0.22641187027044068,-0.2614379084967311,0.22641187027044068,0.9288735101883887,0.2823489205725532
mamba-130m-hf,untouched,profession,trained_full,0.8230452674897132,0.09429168096616551,1.275720164609055,0.0712778110110642,1.275720164609055,0.0712778110110642,-1.4427678707514104,0.14363779227983406
