model,method,baseline,lms_delta_mean,lms_delta_sd,ss_delta_mean,ss_delta_sd,neutrality_delta_mean,neutrality_delta_sd,icat_delta_mean,icat_delta_sd
pythia-160m,untouched,trained_full,5.0569800569800565,0.6427818789497098,1.0288065843621415,0.23422995547560427,1.0288065843621415,0.23422995547560427,2.6035517989722883,0.18610153558037534
pythia-160m,exact_retrain,trained_full,0.5144032921810672,0.40592968038088223,-1.187084520417855,0.46765706561234993,-1.187084520417855,0.46765706561234993,2.2452845049658356,0.38405996795215963
pythia-160m,continued_retain,trained_full,0.9496676163342764,1.3173964291552798,0.8230452674897132,0.39821923473913134,0.8230452674897132,0.39821923473913134,-0.4665140705026853,1.1484803673530872
pythia-160m,sham,trained_full,-0.007913896802785795,0.013707271348281893,0.01582779360557159,0.027414542696563786,0.01582779360557159,0.027414542696563786,-0.030445580197614674,0.036877095950939374
pythia-160m,counterfactual,trained_full,-0.973409306742648,0.5152548531389042,-0.9971509971509983,0.5834855521103791,-0.9971509971509983,0.5834855521103791,0.6699605913492093,1.290435457983467
pythia-160m,gradient_ascent,trained_full,-0.2769863880975028,0.12183289267442904,-0.07913896802785796,0.28621622855374107,-0.07913896802785796,0.28621622855374107,-0.11553688086346625,0.5129822854639875
pythia-160m,npo,trained_full,-0.2849002849002886,0.17924583179655385,-0.09496676163342717,0.2965336181575687,-0.09496676163342717,0.2965336181575687,-0.0978903189518429,0.5746042547495006
pythia-160m,pcgu,trained_full,-0.18993352326685908,0.08560188213352413,-0.1266223488445727,0.1976890787717151,-0.1266223488445727,0.1976890787717151,0.02959632061668316,0.3059881154006202
mamba-130m-hf,untouched,trained_full,0.5460588793922057,0.04748338081671477,-0.06331117442228636,0.05482908539312757,-0.06331117442228636,0.05482908539312757,0.5315989198019319,0.12349181412025922
mamba-130m-hf,exact_retrain,trained_full,-0.3640392529281466,0.013707271348281893,-0.17410572966128512,0.10965817078625309,-0.17410572966128512,0.10965817078625309,-0.0005185744343805254,0.17377268210900443
mamba-130m-hf,continued_retain,trained_full,-0.11870845204179166,0.32639428026750805,0.37986704653371345,0.16448725617937862,0.37986704653371345,0.16448725617937862,-0.7149638335667726,0.4030852114400679
mamba-130m-hf,sham,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamba-130m-hf,counterfactual,trained_full,-0.8151313706869322,0.6416115878033977,0.6172839506172826,0.2965336181575687,0.6172839506172826,0.2965336181575687,-1.6383344651784075,0.9119815574463158
mamba-130m-hf,gradient_ascent,trained_full,-0.007913896802785795,0.03626603114083492,-0.04748338081671477,0.2069752584777175,-0.04748338081671477,0.2069752584777175,0.07159333422918716,0.3590671163056746
mamba-130m-hf,npo,trained_full,0.007913896802785795,0.027414542696563786,-0.07913896802785796,0.1797691784045694,-0.07913896802785796,0.1797691784045694,0.13591911080568053,0.3081939047732684
mamba-130m-hf,pcgu,trained_full,-0.26907249129471705,0.224397703050934,0.0,0.17120376426704825,0.0,0.17120376426704825,-0.21069153178470876,0.3350092669908699
